PLAYER,POS,TEAM,AGE,YRS,DOLLARS,GUARANTEED,% GTD,AVG. SALARY,FREE AGENT
Matt Williams (2017-2017),SG,MIA,23,1,"$815,615.00",-,-,"$815,615.00",2018
Erik McCree (2017-2017),F,MIA,0,1,"$815,615.00",-,-,"$815,615.00",2018
Landry Nnoko (2017-2017),C,DET,23,1,"$815,615.00",-,-,"$815,615.00",2018
Jeremy Senglin (2017-2017),PG,BKN,22,1,"$815,615.00",-,-,"$815,615.00",2018
Milton Doyle (2017-2017),G,BKN,23,1,"$815,615.00",-,-,"$815,615.00",2018
Jordan Mathews (2017-2017),SG,ATL,0,1,"$815,615.00",-,-,"$815,615.00",2018
Alex Hamilton (2017-2017),G,GSW,0,1,"$815,615.00",-,-,"$815,615.00",2018
Andy Rautins (2017-2017),SG,TOR,0,1,"$815,615.00",-,-,"$815,615.00",2018
Jaylen Johnson (2017-2017),PF,CHI,0,1,"$815,615.00",-,-,"$815,615.00",2018
Jacob Pullen (2017-2017),PG,PHI,0,1,"$815,615.00",-,-,"$815,615.00",2018
Akil Mitchell (2017-2017),PF,BKN,25,1,"$815,615.00",-,-,"$815,615.00",2018
Bryce Alford (2017-2017),G,OKC,0,1,"$815,615.00",-,-,"$815,615.00",2018
Rashawn Thomas (2017-2017),PF,OKC,0,1,"$815,615.00",-,-,"$815,615.00",2018
Amida Brimah (2017-2017),C,SAS,0,1,"$815,615.00",-,-,"$815,615.00",2018
Marcus Williams (2017-2017),PG,SAC,0,1,"$815,615.00",-,-,"$815,615.00",2018
Taylor Braun (2017-2017),G,UTH,0,1,"$815,615.00",-,-,"$815,615.00",2018
Bronson Koenig (2017-2017),PG,CHI,22,1,"$815,615.00",-,-,"$815,615.00",2018
T.J. Williams (2017-2017),PG,CHA,22,1,"$815,615.00",-,-,"$815,615.00",2018
Trey McKinney-Jones (2017-2017),SG,IND,27,1,"$815,615.00",-,-,"$815,615.00",2018
Isaiah Hicks (2017-2017),PF,CHA,23,1,"$815,615.00",-,-,"$815,615.00",2018
Tyrone Wallace (2017-2017),PG,LAC,23,1,"$815,615.00",-,-,"$815,615.00",2018
C.J. Williams (2017-2017),SG,LAC,27,1,"$815,615.00",-,-,"$815,615.00",2018
James Blackmon Jr. (2017-2017),SG,PHI,22,1,"$815,615.00",-,-,"$815,615.00",2018
Nigel Hayes (2017-2017),PF,NYK,22,1,"$815,615.00","$50,000.00",6.13%,"$815,615.00",2018
Ben Moore (2017-2017),PF,IND,22,1,"$815,615.00",-,-,"$815,615.00",2018
Jamel Artis (2017-2017),SF,NYK,24,1,"$815,615.00",-,-,"$815,615.00",2018
Tyler Cavanaugh (2017-2017),PF,ATL,23,1,"$815,615.00",-,-,"$815,615.00",2018
Antonius Cleveland (2017-2017),SG,GSW,23,1,"$815,615.00",-,-,"$815,615.00",2018
Xavier Rathan-Mayes (2017-2017),SG,NYK,23,1,"$815,615.00",-,-,"$815,615.00",2018
Andrew White (2017-2017),G,BOS,24,1,"$815,615.00",-,-,"$815,615.00",2018
Daniel Dixon (2017-2017),G,BOS,0,1,"$815,615.00",-,-,"$815,615.00",2018
Troy Caupain (2017-2017),PG,ORL,21,1,"$815,615.00",-,-,"$815,615.00",2018
LaDontae Henton (2017-2017),F,LAC,25,1,"$815,615.00",-,-,"$815,615.00",2018
Peter Jok (2017-2017),SG,PHX,23,1,"$815,615.00",-,-,"$815,615.00",2018
London Perrantes (2017-2017),G,SAS,22,1,"$815,615.00",-,-,"$815,615.00",2018
Amile Jefferson (2017-2017),PF,MIN,24,1,"$815,615.00",-,-,"$815,615.00",2018
Matt Jones (2017-2017),G,SAC,22,1,"$815,615.00",-,-,"$815,615.00",2018
Naz Long (2017-2017),PG,UTH,24,1,"$815,615.00",-,-,"$815,615.00",2018
Isaiah Briscoe (2017-2017),G,POR,21,1,"$815,615.00",-,-,"$815,615.00",2018
Melo Trimble (2017-2017),PG,MIN,22,1,"$815,615.00",-,-,"$815,615.00",2018
Terry Henderson (2017-2017),SG,CHA,23,1,"$815,615.00",-,-,"$815,615.00",2018
Gian Clavell (2017-2017),SG,DAL,23,1,"$815,615.00",-,-,"$815,615.00",2018
V.J. Beachem (2017-2017),SF,LALSigned w/MIN,22,1,"$815,615.00",-,-,"$815,615.00",2018
Donatas Motiejunas (2016-2016),PF,NOP,27,1,"$618,212.00","$618,212.00",100.00%,"$618,212.00",2017
Treveon Graham (2016-2016),SG,CHA,23,1,"$543,471.00","$543,471.00",100.00%,"$543,471.00",2018
Deron Williams (2016-2016),PG,CLE,33,1,"$410,733.00","$410,733.00",100.00%,"$410,733.00",2017
Jose Calderon (2016-2016),PG,CLESigned w/ATL,36,1,"$392,478.00","$392,478.00",100.00%,"$392,478.00",2017
Matt Barnes (2016-2016),SF,GSW,37,1,"$383,351.00","$383,351.00",100.00%,"$383,351.00",2017
Norris Cole (2016-2016),PG,OKC,28,1,"$288,131.00","$288,131.00",100.00%,"$288,131.00",2017
